ticket_id,customer_id,date_created,category,subcategory,priority,issue_description,resolution,resolution_time_hours,customer_satisfaction,agent_id
JIO-T1027,CUST-8124,2025-01-30,Billing,Corporate Discount,Low,"My company has a corporate tie-up with Jio. How do I apply the corporate discount to my personal account?","To link your corporate discount: 1) Request a corporate verification code from your HR department, 2) Go to MyJio app > Profile > Corporate Benefits, 3) Enter the code and your employee ID, 4) Submit your company email for verification. Once verified (typically within 48 hours), you'll receive a confirmation SMS and the discount will apply from your next billing cycle. Based on your company's agreement, you're eligible for a 15% discount on your monthly plan.",1.5,5,AG-135
JIO-T1028,CUST-2567,2025-01-31,Network,Poor Indoor Reception,Medium,"I get very poor signal inside my apartment though it works fine outside","Indoor signal issues are usually caused by building materials interfering with cellular signals. We recommend: 1) Check if the issue affects specific areas only, 2) Try enabling Wi-Fi calling feature on your phone to make calls over Wi-Fi, 3) Consider a Jio Signal Booster device available for ₹2500. As a more immediate solution, we've optimized network parameters for your area and you should see some improvement within 24 hours. Please keep your phone updated with the latest carrier settings.",2.8,4,AG-149
JIO-T1029,CUST-6398,2025-02-01,Account,Email Update,Low,"I need to change the email address associated with my Jio account","We've updated your email from old@example.com to new@example.com in our system. You'll receive a confirmation at your new email address shortly. Please verify by clicking the link in that email within 24 hours to complete this change. All future communications including bills and offers will be sent to your new email. Your MyJio app login credentials remain unchanged.",0.5,5,AG-121
JIO-T1030,CUST-9245,2025-02-02,Technical,eSIM Migration,Medium,"I want to switch from physical SIM to eSIM on my new iPhone","We've processed your request to migrate to an eSIM. You'll receive an SMS with a QR code within 10 minutes. To activate: 1) Go to iPhone Settings > Cellular > Add Cellular Plan, 2) Scan the QR code we sent, 3) Follow on-screen instructions to complete setup. Your physical SIM will be deactivated once the eSIM activates. Important: Ensure you're connected to Wi-Fi during this process. If you face any issues during activation, please contact us immediately.",1.7,4,AG-143
JIO-T1031,CUST-1867,2025-02-03,Data Services,Data Balance Discrepancy,High,"My data seems to be depleting much faster than usual. I lost 1GB overnight without using my phone","We checked your account and found unusual background data usage between 2-4 AM. This appears to be automatic app updates or cloud backups. To prevent this: 1) Set app stores to update only on Wi-Fi, 2) Schedule backups only when connected to Wi-Fi, 3) Check for any data-intensive apps running in background. As a one-time courtesy, we've added 1GB of complimentary data to your account, valid for 3 days.",1.4,5,AG-124
JIO-T1032,CUST-4512,2025-02-04,Billing,Tax Certificate,Low,"I need a tax certificate for all my Jio payments for income tax filing purposes","Your tax certificate for FY 2024-25 (covering payments from April 2024 to January 2025) has been generated and sent to your registered email address. For February-March 2025 payments, you can download statements from the MyJio app under Billing > Payment History > Download Tax Certificate. Each invoice also shows the GST breakdown. If you need any specific format for your tax filing, please let us know and we can arrange that within 2 business days.",0.9,5,AG-132
JIO-T1033,CUST-7159,2025-02-05,Network,MMS Issues,Medium,"I can't send or receive picture messages (MMS) on my phone","MMS requires both mobile data and the correct APN settings. Please verify: 1) Mobile data is enabled when sending/receiving MMS, 2) Your APN settings are correct (Settings > Mobile Network > Access Point Names > should be 'jionet'), 3) Your message size isn't exceeding the 300KB limit. We've also reset your messaging configuration from our end. Please restart your phone for changes to take effect.",1.3,4,AG-146
JIO-T1034,CUST-3786,2025-02-06,Account,Multiple SIM Management,Medium,"I have two Jio numbers. Can I manage both under one account?","Yes, you can manage multiple Jio numbers under a single MyJio account. To add your second number: 1) Open MyJio app > Menu > Add Another Jio Number, 2) Enter the second number and verify via OTP, 3) Once added, you can switch between numbers using the dropdown at the top of the screen. This allows you to manage payments, check usage, and control services for both numbers from a single login. Both numbers will still maintain separate bills and plans.",0.7,5,AG-117
JIO-T1035,CUST-5321,2025-02-07,Technical,Wi-Fi Calling Setup,Low,"How do I set up Wi-Fi calling on my Samsung phone?","To enable Wi-Fi calling on your Samsung device: 1) Ensure you're running the latest software update, 2) Go to Settings > Connections > Wi-Fi Calling and toggle it on, 3) Select 'Wi-Fi Preferred' for best experience. Your phone will automatically use your Wi-Fi network for calls when cellular signal is weak. This feature is available at no extra cost and works with any Wi-Fi network. If the option is missing in your settings, your specific device model might not support this feature.",1.0,5,AG-128
JIO-T1036,CUST-8976,2025-02-08,Roaming,National Roaming,Low,"Will I receive calls on my Jio number while on an Air India flight?","Jio offers in-flight connectivity on select Air India international routes through our partner network. To use this service: 1) Enable data roaming before takeoff, 2) Select the in-flight network manually when the aircraft reaches cruising altitude, 3) Charges will apply at ₹499/day for data and ₹100/minute for calls. Not all Air India flights have this facility - it's available primarily on Boeing 777 and 787 aircraft on long-haul routes. Domestic flights typically require your phone to be in airplane mode.",1.1,4,AG-140
JIO-T1037,CUST-2134,2025-02-09,Data Services,Streaming Quality,Medium,"Why does JioTV buffer on my phone despite good network speed?","Based on your account diagnostics, we found several possible causes: 1) Your current location shows network congestion during peak hours (6-10 PM), 2) Your device cache may need clearing (JioTV app > Settings > Clear Cache), 3) Your app version is outdated. We recommend updating to the latest JioTV app version, reducing video quality to 'Auto' in app settings during peak hours, and connecting to Wi-Fi when possible. We've also refreshed your account authentication which often resolves streaming issues.",1.6,4,AG-134
JIO-T1038,CUST-6745,2025-02-10,Billing,Family Plan Splitting,High,"I want to separate my son's number from our family plan as he's moving to another city","We've processed your request to remove the number 9876543210 from your JioTogether Family Plan. This change will be effective from your next billing cycle (February 15th). Your son's number will be automatically converted to our ₹299 individual plan with similar benefits. He will receive an SMS confirmation with his new plan details. He can change to a different plan through the MyJio app if desired. Your family plan charges will be adjusted accordingly in your next bill.",2.0,5,AG-150
JIO-T1039,CUST-9431,2025-02-11,Network,Network Type Selection,Low,"My phone keeps switching between 4G and 3G which interrupts my calls","This switching (called inter-RAT handover) happens when the 4G signal quality fluctuates. To minimize disruptions: 1) Go to Settings > Mobile Networks > Network Mode and set it to '4G/LTE only' instead of 'Auto', 2) This will keep your phone on 4G network only, but note that in areas with no 4G coverage, you might lose service temporarily. Based on your usage area, we recommend using 4G only mode as our network coverage is strong in your locality.",0.8,4,AG-113
JIO-T1040,CUST-1593,2025-02-12,Account,Port Out Prevention,High,"Someone tried to port out my number without my knowledge. How do I secure my account?","This is a serious security concern. We've immediately placed a temporary freeze on your account to prevent unauthorized porting. Additional security measures implemented: 1) Added a port-out password to your account, 2) Enabled two-factor authentication for all account changes, 3) Flagged your account for enhanced monitoring. Please visit a Jio Store with your ID proof within 7 days to verify your identity and set up permanent security measures. We've also initiated an investigation into this unauthorized attempt.",1.5,5,AG-116
JIO-T1041,CUST-4267,2025-02-13,Technical,Voice Quality Issues,Medium,"My voice calls have echo and delay even with full signal strength","After testing your line, we detected a network routing issue causing voice packet delays. This has been resolved from our end. Please take these additional steps: 1) Restart your phone to establish a fresh network connection, 2) Ensure you're not using any Bluetooth devices that might cause echo, 3) If you're using VoLTE, try disabling it temporarily to see if the issue persists on regular calling. The changes we've made should improve your voice quality immediately.",1.8,4,AG-148
JIO-T1042,CUST-7823,2025-02-14,Data Services,App Access,Medium,"I'm unable to access certain Jio apps that should be free with my plan","We found that your account was missing the app access entitlements despite having an eligible plan. This was due to a synchronization error during recent system maintenance. We've refreshed your profile and added all entitled app access: JioTV, JioCinema, JioSaavn, JioCloud, and JioNews. Please log out and log back into these apps to apply the changes. If you've purchased any subscriptions separately while facing this issue, please let us know and we'll process a refund.",1.2,5,AG-137
JIO-T1043,CUST-3654,2025-02-15,Billing,Plan Downgrade,Low,"I want to switch to a cheaper plan as I'm not using all my current benefits","We've analyzed your usage pattern and recommend our ₹149 plan which includes 2GB total data (vs your current 1.5GB/day), unlimited calls, and 100 SMS for 24 days. This should save you approximately ₹250 monthly based on your typical usage. The downgrade can be processed immediately or scheduled for your next renewal date. Please confirm your preference. Note that any unused benefits from your current plan will not carry forward after downgrade.",0.7,5,AG-122
JIO-T1044,CUST-5987,2025-02-16,Network,Hidden Number,Medium,"I want to hide my caller ID when making calls. Is this possible with Jio?","Yes, you can hide your caller ID on Jio. There are two methods: 1) Prefix any call with *31# (e.g., *31#9876543210) to hide your number for that specific call only, 2) For permanently hiding your number for all calls, dial *31# and press call. To disable this setting later, dial #31# and press call. Please note that some recipients may have settings to reject calls from hidden numbers, and emergency services will still see your number regardless of this setting.",0.5,5,AG-114
JIO-T1045,CUST-8342,2025-02-17,Account,Online Security,High,"I received a suspicious SMS asking for my Jio account details. Is this legitimate?","This is definitely NOT from Jio. We never request sensitive information via SMS or email. This appears to be a phishing attempt. Please: 1) Do not click any links or call numbers in the message, 2) Do not share any personal or account information, 3) Forward the suspicious SMS to 1909 (DoT's spam reporting number) and to cybersecurity@jio.com. We've added an extra security flag to your account as a precaution. Remember that official Jio communications always come from JM-JIOTEL or similar registered IDs, never from personal numbers.",0.6,5,AG-110
JIO-T1046,CUST-2786,2025-02-18,Technical,Phone Settings,Low,"What APN settings should I use for optimal Jio performance?","For optimal Jio network performance, configure your APN settings as follows: Name: Jio, APN: jionet, Proxy: Not set, Port: Not set, Username: Not set, Password: Not set, Server: Not set, MMSC: Not set, MMS Proxy: Not set, MMS Port: Not set, MCC: 405, MNC: 874, Authentication Type: None, APN type: default,supl,xcap, APN Protocol: IPv4/IPv6, APN roaming protocol: IPv4/IPv6, Bearer: Unspecified. On most phones, these settings should be automatically configured when you insert your Jio SIM. If you're facing specific connectivity issues, please provide more details so we can assist further.",1.0,5,AG-133
JIO-T1047,CUST-6123,2025-02-19,Data Services,Data Speeds,Medium,"My data speed seems throttled even though I haven't exhausted my daily limit","Our diagnostic tests show no throttling on your connection. However, we detected that you're connected to a congested cell tower (ID: JMH-1234) during peak hours. This temporary congestion typically occurs between 7-10 PM in your area due to high usage volume. To improve your experience: 1) Try switching to the 5GHz band on your Wi-Fi if you're at home, 2) In device settings, toggle airplane mode on and off to reconnect to a different tower, 3) Our network team is adding capacity to this tower, scheduled for completion by February 25th.",2.3,3,AG-129
JIO-T1048,CUST-9567,2025-02-20,Network,Call Barring,Low,"How do I block international calls? I keep receiving spam calls from foreign numbers","To block incoming international calls: 1) Dial *33*3333# from your Jio number, 2) You'll receive a confirmation SMS once activated. To disable this feature later, dial #33*3333#. This will block all international incoming calls. If you need to receive calls from specific countries only, we can set up a customized call barring profile. Please note that this won't affect domestic calls or calls made through WhatsApp or similar apps.",0.8,5,AG-145
JIO-T1049,CUST-1478,2025-02-21,Billing,Autopay Limits,Medium,"I want to increase my autopay limit from ₹500 to ₹1000 as my bill often exceeds the current limit","We've updated your autopay limit from ₹500 to ₹1000 as requested. This change is effective immediately and will apply to your next billing cycle. If your bill exceeds ₹1000 in the future, you'll receive a notification to make a manual payment for the additional amount. You can modify this limit anytime through the MyJio app under Payment Settings > Autopay Configuration. There's no upper cap on the autopay limit you can set.",0.6,5,AG-126
JIO-T1050,CUST-4932,2025-02-22,Account,Premium Number,High,"I want to get a Jio number with my birth date (01/05/1990) pattern. Is this possible?","Yes, we offer premium or customized numbers based on availability. Based on your birth date preference, we have checked and can offer you these available options: 9812010590, 9905011990, or 7010519090. These premium numbers have a one-time charge of ₹2000. To proceed with booking, please visit your nearest Jio Store with your ID proof. The number will be reserved for 48 hours once you select it. Alternatively, you can browse more options through the MyJio app under 'Get New Connection > Premium Numbers'.",1.4,5,AG-119
JIO-T1051,CUST-7265,2025-02-23,Technical,Internet Configuration,Medium,"After changing my phone, mobile data isn't working though calls and SMS are fine","This is typically a configuration issue on your new device. Please check: 1) Mobile data is enabled in settings, 2) Data roaming is enabled (required even when not roaming for some devices), 3) APN settings are correctly configured to 'jionet'. We've also sent a configuration SMS to your number - please click on the link when received to automatically update settings. Additionally, ensure that your new phone supports the correct 4G bands (3, 5, and 40) for optimal Jio network compatibility.",1.1,4,AG-138
JIO-T1052,CUST-3519,2025-02-24,Data Services,Value Added Services,Low,"How do I check and unsubscribe from value-added services on my Jio account?","To manage your value-added services (VAS): 1) Open MyJio app, 2) Go to 'My Services' section, 3) You'll see all active subscriptions with renewal dates and charges. Currently, you have 3 active services: Jio Caller Tunes (₹49/month), JioNews Premium (₹99/month), and Missed Call Alert (₹13/month). To unsubscribe from any service, simply click on it and select 'Unsubscribe'. Changes will take effect immediately, but partial month charges may still apply.",0.9,5,AG-131
JIO-T1053,CUST-5874,2025-02-25,Network,Coverage Extension,Medium,"I get poor network in my basement office. Is there any solution?","For improved indoor coverage, we recommend a Jio Signal Booster device which amplifies existing signals. It's available for ₹2500 with free installation. Alternatively, enable Wi-Fi calling on your device to make/receive calls over Wi-Fi. As an immediate solution, we've optimized network parameters for the cell towers near your location to improve signal penetration. These changes will take effect within 24 hours. For basement offices, the Signal Booster typically provides the most reliable solution.",1.5,4,AG-152
JIO-T1054,CUST-8231,2025-02-26,Billing,Referral Benefits,Low,"I referred my friend to Jio but didn't receive the promised cashback","We've verified that your friend (mobile number ending 7890) successfully joined Jio using your referral code JRF-123456 on February 10th. However, the referral bonus requires them to remain active and make their first recharge, which was completed on February 24th. Your cashback of ₹100 has been processed today and will reflect in your JioMoney wallet within 24 hours. You can refer up to 10 friends per month under this scheme.",1.0,5,AG-127
JIO-T1055,CUST-2965,2025-02-27,Account,OTP Issues,High,"I'm not receiving OTP messages for banking or other services","We identified two potential issues: 1) Your DND (Do Not Disturb) settings were blocking service SMS messages - we've updated your preferences to allow service messages while maintaining DND for promotional content, 2) Your SMS storage was at capacity (1000 messages) - please delete old messages. We've also refreshed your network registration. OTPs should now deliver correctly. If you continue to face issues with specific services, check if you've blocked those sender IDs in your message settings.",1.3,4,AG-142
JIO-T1056,CUST-6732,2025-02-28,Technical,Phone Compatibility,Medium,"I bought a new iPhone 16 Pro but my Jio 5G isn't working on it","The iPhone 16 Pro fully supports Jio 5G, but requires the latest carrier settings. Please follow these steps: 1) Ensure iOS is updated to the latest version, 2) Go to Settings > General > About and wait for the carrier settings update prompt (should appear within 30 seconds), 3) If no prompt appears, go to Settings > Cellular > Cellular Data Options and ensure 5G is set to 'Auto' not 'LTE'. We've also refreshed your network profile from our end. Please restart your phone for changes to take effect.",0.7,5,AG-120
JIO-T1057,CUST-9154,2025-03-01,Data Services,International Roaming Data,Medium,"I'll be traveling to Dubai next week. What data packs should I activate?","For Dubai (UAE), we recommend our 'Middle East Pack' priced at ₹1599 which includes 5GB data, 100 minutes of calls (both incoming and outgoing), and 100 SMS valid for 7 days. To activate: 1) Open MyJio app, 2) Go to 'International Roaming' section, 3) Select your travel dates and destination, 4) Choose and activate the pack at least 24 hours before travel. Once activated, your service will automatically switch to our partner network 'Etisalat' upon landing. Remember to enable data roaming in your phone settings before departure.",0.8,5,AG-118
JIO-T1058,CUST-3487,2025-03-02,Network,Network Speed Test,Low,"How can I check if I'm really getting the speed I'm paying for?","To accurately test your Jio network speed: 1) Use the speed test feature built into the MyJio app which connects to our certified servers, 2) Perform tests at different times of day (speeds naturally vary with network congestion), 3) Ensure you're testing on 4G/5G, not Wi-Fi. Your plan guarantees minimum speeds of 10Mbps even during peak hours. Our diagnostics show your connection has been averaging 24Mbps during the day and 32Mbps at night over the past week, which is within expected range for your location and plan.",1.2,5,AG-136
JIO-T1059,CUST-7021,2025-03-03,Billing,Long-term Plans,Medium,"Are there any annual plans that could save me money compared to monthly recharges?","Based on your current monthly spend of approximately ₹599, we recommend our annual plan of ₹5999 which offers the same benefits (2GB/day data, unlimited calls, 100 SMS/day) but effectively gives you two months free compared to monthly recharges. There's also a quarterly option at ₹1599 if you prefer more flexibility. Annual plans also protect you from any price increases during the year. As a loyalty benefit, annual plan subscribers receive priority customer support and early access to new services.",1.4,5,AG-125
JIO-T1060,CUST-1843,2025-03-04,Account,Document Update,High,"I need to update my KYC documents as my address proof has changed after relocation","KYC document updates require in-person verification. Please visit any Jio Store with your new address proof (Aadhaar/passport/utility bill) and a valid photo ID. For your convenience, you can schedule an appointment through the MyJio app to avoid waiting time. We've made a note on your account regarding this pending update, so you won't face any service interruptions for the next 30 days. However, please complete this process within that timeframe to maintain uninterrupted services.",0.9,4,AG-149
JIO-T1061,CUST-4579,2025-03-05,Technical,JioFiber Modem Issues,High,"My JioFiber connection keeps disconnecting every few hours","Our diagnostics show signal fluctuations on your fiber line. This could be due to: 1) Physical damage to the cable, 2) Router overheating, or 3) Power supply issues. We've scheduled a technician visit for tomorrow between 10 AM-1 PM to inspect and resolve the issue. In the meantime, please ensure your router is in a well-ventilated area and try connecting your device directly to the router with an ethernet cable to rule out Wi-Fi interference issues. We've temporarily boosted your signal power from our end which should provide some stability until the technician arrives.",2.5,4,AG-153
JIO-T1062,CUST-8916,2025-03-06,Data Services,Digital Content Access,Low,"I'm unable to access JioCinema despite having an active subscription","Our system shows your JioCinema access is active, but there might be an authentication issue. Try these steps: 1) Force stop the JioCinema app, 2) Clear app cache and data in your device settings, 3) Uninstall and reinstall the app, 4) Login with your registered mobile number. We've also refreshed your content entitlements from our end. If you're trying to access premium content, please confirm which specific title you're unable to view as some content may have regional restrictions or require additional premium subscription beyond the basic JioCinema access.",1.1,4,AG-132
JIO-T1063,CUST-2350,2025-03-07,Network,SMS Delivery Issues,Medium,"My OTP and transaction SMS messages are delayed by 15-20 minutes","Our network logs confirm delays in SMS delivery to your number. This is due to temporary congestion at the SMS gateway serving your area. We've rerouted your SMS traffic through an alternate gateway which should resolve the delays immediately. Additionally, we recommend enabling SMS backup to email in the MyJio app settings so critical messages are also delivered to your email address as a backup. The gateway congestion issue is expected to be fully resolved within 24 hours as our team is currently expanding capacity.",1.6,4,AG-141
JIO-T1064,CUST-6814,2025-03-08,Billing,Payment Methods,Low,"I want to change my primary payment method from credit card to UPI","We've updated your primary payment method from credit card (ending 4567) to UPI ID (user@upi). This change will apply to all future auto-payments and recharges. Your saved credit card information remains securely stored as a backup payment method but won't be used unless specifically selected. To manage all your payment methods, go to MyJio app > Payments > Saved Payment Methods. For security reasons, please verify this change by clicking the confirmation link sent to your registered email address.",0.5,5,AG-115
